distance	scattering length real	scattering length imag
1.9806427656020157e3	-1.551905457505136e1	4.0385439722825833e-13
1.9806427656020157e3	-1.551905457505136e1	4.0385439722825833e-13
1.9806427656020157e3	-1.551905457505136e1	4.0385439722825833e-13
1.9806427656020157e3	-1.551905457505136e1	4.0385439722825833e-13
1.9806427656020157e3	-1.551905457505136e1	4.0385439722825833e-13
1.9806427656020157e3	-1.551905457505136e1	4.0385439722825833e-13
1.9806427656020157e3	-1.551905457505136e1	4.0385439722825833e-13
1.9806427656020157e3	-1.551905457505136e1	4.0385439722825833e-13
1.9806427656020157e3	-1.551905457505136e1	4.0385439722825833e-13
1.9806427656020157e3	-1.551905457505136e1	4.0385439722825833e-13
2.0943216942384597e3	-1.5519243535129625e1	-1.0385451858539553e-12
2.0943216942384597e3	-1.5519243535129625e1	-1.0385451858539553e-12
2.0943216942384597e3	-1.5519243535129625e1	-1.0385451858539553e-12
2.0943216942384597e3	-1.5519243535129625e1	-1.0385451858539553e-12
2.0943216942384597e3	-1.5519243535129625e1	-1.0385451858539553e-12
2.0943216942384597e3	-1.5519243535129625e1	-1.0385451858539553e-12
2.0943216942384597e3	-1.5519243535129625e1	-1.0385451858539553e-12
2.0943216942384597e3	-1.5519243535129625e1	-1.0385451858539553e-12
2.0943216942384597e3	-1.5519243535129625e1	-1.0385451858539553e-12
2.0943216942384597e3	-1.5519243535129625e1	-1.0385451858539553e-12
2.0943216942384597e3	-1.5519243535129625e1	-1.0385451858539553e-12
2.0943216942384597e3	-1.5519243535129625e1	-1.0385451858539553e-12
2.2080006228749035e3	-1.5519394339562904e1	-3.500206751335898e-13
2.2080006228749035e3	-1.5519394339562904e1	-3.500206751335898e-13
2.2080006228749035e3	-1.5519394339562904e1	-3.500206751335898e-13
2.2080006228749035e3	-1.5519394339562904e1	-3.500206751335898e-13
2.2080006228749035e3	-1.5519394339562904e1	-3.500206751335898e-13
2.2080006228749035e3	-1.5519394339562904e1	-3.500206751335898e-13
2.2080006228749035e3	-1.5519394339562904e1	-3.500206751335898e-13
2.2080006228749035e3	-1.5519394339562904e1	-3.500206751335898e-13
2.2080006228749035e3	-1.5519394339562904e1	-3.500206751335898e-13
2.2080006228749035e3	-1.5519394339562904e1	-3.500206751335898e-13
2.2080006228749035e3	-1.5519394339562904e1	-3.500206751335898e-13
2.321679551511347e3	-1.5519516144906582e1	-4.059256589455371e-15
2.321679551511347e3	-1.5519516144906582e1	-4.059256589455371e-15
2.321679551511347e3	-1.5519516144906582e1	-4.059256589455371e-15
2.321679551511347e3	-1.5519516144906582e1	-4.059256589455371e-15
2.321679551511347e3	-1.5519516144906582e1	-4.059256589455371e-15
2.321679551511347e3	-1.5519516144906582e1	-4.059256589455371e-15
2.321679551511347e3	-1.5519516144906582e1	-4.059256589455371e-15
2.321679551511347e3	-1.5519516144906582e1	-4.059256589455371e-15
2.321679551511347e3	-1.5519516144906582e1	-4.059256589455371e-15
2.321679551511347e3	-1.5519516144906582e1	-4.059256589455371e-15
2.321679551511347e3	-1.5519516144906582e1	-4.059256589455371e-15
2.321679551511347e3	-1.5519516144906582e1	-4.059256589455371e-15
2.435358480147791e3	-1.5519615592728046e1	1.0711354651923794e-12
2.435358480147791e3	-1.5519615592728046e1	1.0711354651923794e-12
2.435358480147791e3	-1.5519615592728046e1	1.0711354651923794e-12
2.435358480147791e3	-1.5519615592728046e1	1.0711354651923794e-12
2.435358480147791e3	-1.5519615592728046e1	1.0711354651923794e-12
2.435358480147791e3	-1.5519615592728046e1	1.0711354651923794e-12
2.435358480147791e3	-1.5519615592728046e1	1.0711354651923794e-12
2.435358480147791e3	-1.5519615592728046e1	1.0711354651923794e-12
2.435358480147791e3	-1.5519615592728046e1	1.0711354651923794e-12
2.435358480147791e3	-1.5519615592728046e1	1.0711354651923794e-12
2.435358480147791e3	-1.5519615592728046e1	1.0711354651923794e-12
2.5490374087842347e3	-1.5519697580031355e1	5.005323583659603e-13
2.5490374087842347e3	-1.5519697580031355e1	5.005323583659603e-13
2.5490374087842347e3	-1.5519697580031355e1	5.005323583659603e-13
2.5490374087842347e3	-1.5519697580031355e1	5.005323583659603e-13
2.5490374087842347e3	-1.5519697580031355e1	5.005323583659603e-13
2.5490374087842347e3	-1.5519697580031355e1	5.005323583659603e-13
2.5490374087842347e3	-1.5519697580031355e1	5.005323583659603e-13
2.5490374087842347e3	-1.5519697580031355e1	5.005323583659603e-13
2.5490374087842347e3	-1.5519697580031355e1	5.005323583659603e-13
2.5490374087842347e3	-1.5519697580031355e1	5.005323583659603e-13
2.5490374087842347e3	-1.5519697580031355e1	5.005323583659603e-13
2.5490374087842347e3	-1.5519697580031355e1	5.005323583659603e-13
2.6627163374206784e3	-1.5519765771356388e1	-8.119085638408577e-13
2.6627163374206784e3	-1.5519765771356388e1	-8.119085638408577e-13
2.6627163374206784e3	-1.5519765771356388e1	-8.119085638408577e-13
2.6627163374206784e3	-1.5519765771356388e1	-8.119085638408577e-13
2.6627163374206784e3	-1.5519765771356388e1	-8.119085638408577e-13
2.6627163374206784e3	-1.5519765771356388e1	-8.119085638408577e-13
2.6627163374206784e3	-1.5519765771356388e1	-8.119085638408577e-13
2.6627163374206784e3	-1.5519765771356388e1	-8.119085638408577e-13
2.6627163374206784e3	-1.5519765771356388e1	-8.119085638408577e-13
2.6627163374206784e3	-1.5519765771356388e1	-8.119085638408577e-13
2.6627163374206784e3	-1.5519765771356388e1	-8.119085638408577e-13
2.776395266057122e3	-1.5519822945910102e1	9.656884690406266e-13
2.776395266057122e3	-1.5519822945910102e1	9.656884690406266e-13
2.776395266057122e3	-1.5519822945910102e1	9.656884690406266e-13
2.776395266057122e3	-1.5519822945910102e1	9.656884690406266e-13
2.776395266057122e3	-1.5519822945910102e1	9.656884690406266e-13
2.776395266057122e3	-1.5519822945910102e1	9.656884690406266e-13
2.776395266057122e3	-1.5519822945910102e1	9.656884690406266e-13
2.776395266057122e3	-1.5519822945910102e1	9.656884690406266e-13
2.776395266057122e3	-1.5519822945910102e1	9.656884690406266e-13
2.776395266057122e3	-1.5519822945910102e1	9.656884690406266e-13
2.776395266057122e3	-1.5519822945910102e1	9.656884690406266e-13
2.776395266057122e3	-1.5519822945910102e1	9.656884690406266e-13
2.890074194693566e3	-1.5519871237682795e1	-1.7660715197423679e-13
2.890074194693566e3	-1.5519871237682795e1	-1.7660715197423679e-13
2.890074194693566e3	-1.5519871237682795e1	-1.7660715197423679e-13
2.890074194693566e3	-1.5519871237682795e1	-1.7660715197423679e-13
2.890074194693566e3	-1.5519871237682795e1	-1.7660715197423679e-13
2.890074194693566e3	-1.5519871237682795e1	-1.7660715197423679e-13
2.890074194693566e3	-1.5519871237682795e1	-1.7660715197423679e-13
2.890074194693566e3	-1.5519871237682795e1	-1.7660715197423679e-13
2.890074194693566e3	-1.5519871237682795e1	-1.7660715197423679e-13
2.890074194693566e3	-1.5519871237682795e1	-1.7660715197423679e-13
2.890074194693566e3	-1.5519871237682795e1	-1.7660715197423679e-13
3.0037531233300097e3	-1.5519912303354362e1	7.858217687285812e-13
3.0037531233300097e3	-1.5519912303354362e1	7.858217687285812e-13
3.0037531233300097e3	-1.5519912303354362e1	7.858217687285812e-13
3.0037531233300097e3	-1.5519912303354362e1	7.858217687285812e-13
3.0037531233300097e3	-1.5519912303354362e1	7.858217687285812e-13
3.0037531233300097e3	-1.5519912303354362e1	7.858217687285812e-13
3.0037531233300097e3	-1.5519912303354362e1	7.858217687285812e-13
3.0037531233300097e3	-1.5519912303354362e1	7.858217687285812e-13
3.0037531233300097e3	-1.5519912303354362e1	7.858217687285812e-13
3.0037531233300097e3	-1.5519912303354362e1	7.858217687285812e-13
3.0037531233300097e3	-1.5519912303354362e1	7.858217687285812e-13
3.0037531233300097e3	-1.5519912303354362e1	7.858217687285812e-13
3.1174320519664534e3	-1.5519947442470004e1	1.4368554019864483e-13
3.1174320519664534e3	-1.5519947442470004e1	1.4368554019864483e-13
3.1174320519664534e3	-1.5519947442470004e1	1.4368554019864483e-13
3.1174320519664534e3	-1.5519947442470004e1	1.4368554019864483e-13
3.1174320519664534e3	-1.5519947442470004e1	1.4368554019864483e-13
3.1174320519664534e3	-1.5519947442470004e1	1.4368554019864483e-13
3.1174320519664534e3	-1.5519947442470004e1	1.4368554019864483e-13
3.1174320519664534e3	-1.5519947442470004e1	1.4368554019864483e-13
3.1174320519664534e3	-1.5519947442470004e1	1.4368554019864483e-13
3.1174320519664534e3	-1.5519947442470004e1	1.4368554019864483e-13
3.1174320519664534e3	-1.5519947442470004e1	1.4368554019864483e-13
